"Year","Import","Year","Export"
"1960","544000000","1960",""
"1961","1122000000","1961",""
"1962","371000000","1962",""
"1963","647000000","1963",""
"1964","920000000","1964",""
"1965","1049000000","1965",""
"1966","994000000","1966",""
"1967","1265000000","1967",""
"1968","1653000000","1968","1000000"
"1969","1515000000","1969",""
"1970","869000000","1970",""
"1971","1868000000","1971","7000000"
"1972","1815000000","1972","2000000"
"1973","1337000000","1973","21000000"
"1974","1302000000","1974","24000000"
"1975","1108000000","1975","31000000"
"1976","1935000000","1976",""
"1977","2369000000","1977",""
"1978","1199000000","1978","27000000"
"1979","1199000000","1979","22000000"
"1980","1768000000","1980",""
"1981","2123000000","1981",""
"1982","2275000000","1982","2000000"
"1983","2637000000","1983",""
"1984","2782000000","1984",""
"1985","2999000000","1985",""
"1986","4265000000","1986",""
"1987","3929000000","1987","0"
"1988","3855000000","1988","1000000"
"1989","3691000000","1989","0"
"1990","2861000000","1990","7000000"
"1991","1896000000","1991","0"
"1992","1190000000","1992","3000000"
"1993","740000000","1993","9000000"
"1994","886000000","1994","2000000"
"1995","1403000000","1995","2000000"
"1996","851000000","1996","0"
"1997","1673000000","1997","0"
"1998","757000000","1998","0"
"1999","1215000000","1999","0"
"2000","983000000","2000","21000000"
"2001","1201000000","2001","2000000"
"2002","2031000000","2002","0"
"2003","2743000000","2003","4000000"
"2004","2214000000","2004","31000000"
"2005","1198000000","2005","19000000"
"2006","1475000000","2006","33000000"
"2007","2281000000","2007","23000000"
"2008","1644000000","2008","15000000"
"2009","1884000000","2009","27000000"
"2010","2898000000","2010","5000000"
"2011","3610000000","2011","3000000"
"2012","4396000000","2012",""
"2013","5367000000","2013","18000000"
"2014","3330000000","2014","40000000"
"2015","2928000000","2015","42000000"
"2016","2782000000","2016","49000000"
"2017","2892000000","2017","56000000"
"2018","2118000000","2018","47000000"
"2019","3470000000","2019","18000000"
"2020","2847000000","2020","151000000"
"2021","4167000000","2021","33000000"
"2022","2846000000","2022","11000000"
"2023","3300000000","2023","21000000"
